Submission ID;À quelle fréquence achetez-vous de nouveaux vêtements ?;Combien de temps passez-vous en moyenne chaque matin à choisir votre tenue ?;Quelle importance accordez-vous à l'impact environnemental de vos choix vestimentaires ?;Avez-vous déjà utilisé une application de gestion de garde-robe virtuelle ?;Sur une échelle de 1 à 5, à quel point êtes-vous intéressé(e) par une application qui suggère des tenues basées sur votre garde-robe existante ?;Utilisez-vous des plateformes de revente de vêtements comme Vinted ?;Parmi les fonctionnalités suivantes, lesquelles vous intéresseraient le plus dans une application de gestion de garde-robe ? ;Quel est votre plus grand défi dans la gestion quotidienne de votre garde-robe ?;Parmi ces fonctionnalités innovantes, laquelle vous intéresserait le plus ?;Si une application pouvait vous aider à réduire vos achats de vêtements, quelle fonctionnalité serait la plus utile ?;Dans quelle mesure seriez-vous prêt(e) à partager des informations sur vos habitudes vestimentaires pour obtenir des recommandations personnalisées plus précises ?;Quelle fonctionnalité unique aimeriez-vous voir dans une application de gestion de garde-robe qui n'existe pas encore sur le marché ?;Seriez-vous prêt(e) à payer pour une application offrant ces fonctionnalités ?;Quelle est votre tranche d'âge ?;Quel est votre genre ?;Parmi les fonctionnalités suivantes, lesquelles vous intéresseraient le plus dans une application de gestion de garde-robe ? (Sélectionnez jusqu'à 3 réponses)
11;Chaque saison;5-10 minutes;Pas important du tout;Non;3;Oui, occasionnellement;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Création de capsules wardrobe saisonnières;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un mode nuit pour trier mes vetements plus facilement le soir;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Femme;Intégration avec des plateformes de revente, Suggestions de tenues personnalisées
12;Chaque saison;Moins de 5 minutes;Peu important;Non;5;Oui, régulièrement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une suggestion automatique de tri saisonnier;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Numérisation intelligente des vêtements
13;Une fois par an;Moins de 5 minutes;Assez important;Non;1;Non, mais je serais intéressé(e);Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Pourquoi pas évaluation de la durabilité et de la qualité des vêtements avant l’achat ?;Je ne souhaite pas du tout partager mes données personnelles;Un coach virtuel qui me motive à réduire ma garde robe;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Numérisation intelligente des vêtements
14;Une fois par an;Moins de 5 minutes;Pas important du tout;Non;2;Non, et je ne suis pas intéressé(e);Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Conseils de style personnalisés;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un outil de partage de tenue avec mes amis;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Intégration avec des plateformes de revente
15;Une fois par an;Moins de 5 minutes;Assez important;Non;2;Non, et je ne suis pas intéressé(e);Analyse de l'impact environnemental des vêtements;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Calcul du coût par utilisation de chaque vêtement — ça serait pratique;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une fonction darchives pour les habits que je ne porte plus mais que je veux garder;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Femme;Planification de capsules wardrobe saisonnières
16;Chaque semaine;10-20 minutes;Pas important du tout;Non;2;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je ne souhaite pas du tout partager mes données personnelles;Un bouton declencheur pour vendre directement sur vinted;Oui, un achat unique;55 ans et plus;Préfère ne pas répondre;Conseils de style personnalisés
17;Chaque semaine;Plus de 20 minutes;Pas important du tout;Non;5;Non, et je ne suis pas intéressé(e);Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Création de capsules wardrobe saisonnières;Suggestions de nouvelles combinaisons avec les vêtements existants;Je ne souhaite pas du tout partager mes données personnelles;Une reconnaissance vocale pour décrire ce que je cherche;Non, je ne paierais pas pour ce type d'application;45-54 ans;Non-binaire;Analyse de l’impact environnemental des vêtements, Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières
18;Chaque semaine;Plus de 20 minutes;Pas important du tout;Oui;5;Oui, régulièrement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Création de capsules wardrobe saisonnières;Peut-être une option comme : calcul du coût par utilisation de chaque vêtement;Je ne souhaite pas du tout partager mes données personnelles;;Oui, un achat unique;18-24 ans;Homme;Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières
19;Chaque semaine;5-10 minutes;Très important;Non;5;Oui, régulièrement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une option pour planifier mes tenues selon la météo et mon agenda;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés
20;Chaque semaine;5-10 minutes;Très important;Oui;5;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Intégration avec des plateformes de revente;Manque de temps pour choisir une tenue;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat — ça serait pratique;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Intégration avec des plateformes de revente
21;Chaque semaine;5-10 minutes;Très important;Oui;5;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements, Intégration avec des plateformes de revente, Suggestions de tenues personnalisées;Manque de temps pour choisir une tenue;Conseils de style personnalisés par IA;Je pense à : calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une option capsule wardrobe automatique basée sur mes gouts;Oui, un abonnement mensuel;18-24 ans;Homme;Conseils de style personnalisés, Planification de capsules wardrobe saisonnières
22;Chaque semaine;Moins de 5 minutes;Très important;Oui;3;Non, mais je serais intéressé(e);Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Création de capsules wardrobe saisonnières;Un outil pour évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Oui, un abonnement mensuel;18-24 ans;Homme;Planification de capsules wardrobe saisonnières, Intégration avec des plateformes de revente
23;Chaque saison;Moins de 5 minutes;Très important;Oui;3;Oui, régulièrement;Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Quelque chose qui gère le/la calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un classement de mes vetements par frequence de port;Oui, un abonnement mensuel;18-24 ans;Homme;Analyse de l’impact environnemental des vêtements
24;Chaque semaine;10-20 minutes;Assez important;Oui;2;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je préfère limiter les informations partagées;Une visionneuse de tenues portees par des gens qui ont mon style;Oui, un abonnement mensuel;18-24 ans;Homme;Numérisation intelligente des vêtements, Conseils de style personnalisés, Analyse de l’impact environnemental des vêtements
25;Chaque saison;10-20 minutes;Assez important;Non;5;Oui, occasionnellement;Suggestions de tenues personnalisées;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Un outil pour suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Oui, un abonnement mensuel;18-24 ans;Homme;Intégration avec des plateformes de revente
26;Chaque semaine;Moins de 5 minutes;Très important;Oui;3;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Fonction utile : évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un historique des looks par date et humeur;Oui, un abonnement mensuel;18-24 ans;Homme;Conseils de style personnalisés, Intégration avec des plateformes de revente, Numérisation intelligente des vêtements
27;Chaque semaine;5-10 minutes;Assez important;Non;2;Oui, occasionnellement;Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Fonction utile : suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un tableau de bord de rotation des vetements;Oui, un achat unique;18-24 ans;Homme;Suggestions de tenues personnalisées, Conseils de style personnalisés
28;Chaque semaine;5-10 minutes;Assez important;Non;2;Oui, occasionnellement;Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Oui, un achat unique;18-24 ans;Homme;Suggestions de tenues personnalisées
29;Chaque semaine;5-10 minutes;Assez important;Non;2;Oui, occasionnellement;Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps — ça serait pratique;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un filtre eco responsable pour les nouvelles acquisitions;Oui, un achat unique;18-24 ans;Homme;Numérisation intelligente des vêtements
30;Chaque semaine;10-20 minutes;Peu important;Non;3;Oui, occasionnellement;Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;J’aimerais voir une fonction pour alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un rappel pour donner ou recycler mes habits rarement portes;Oui, un abonnement mensuel;18-24 ans;Homme;Analyse de l’impact environnemental des vêtements, Suggestions de tenues personnalisées
31;Chaque semaine;10-20 minutes;Peu important;Non;3;Oui, occasionnellement;Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;J’aimerais voir une fonction pour calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une simulation de tenues avec les nouveaux achats avant de les acheter;Oui, un abonnement mensuel;18-24 ans;Homme;Conseils de style personnalisés, Planification de capsules wardrobe saisonnières
32;Chaque semaine;10-20 minutes;Peu important;Non;3;Oui, occasionnellement;Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Une application qui permettrait le/la calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Oui, un abonnement mensuel;18-24 ans;Homme;Suggestions de tenues personnalisées
33;Chaque saison;Moins de 5 minutes;Peu important;Non;3;Oui, occasionnellement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je préfère limiter les informations partagées;Une suggestion de look pour une occasion speciale;Oui, un abonnement mensuel;18-24 ans;Homme;Planification de capsules wardrobe saisonnières, Suggestions de tenues personnalisées
34;Chaque saison;Moins de 5 minutes;Assez important;Non;5;Oui, régulièrement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;J’aimerais voir une fonction pour suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un assistant shopping anti doublon;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Conseils de style personnalisés, Numérisation intelligente des vêtements, Planification de capsules wardrobe saisonnières
35;Chaque saison;Moins de 5 minutes;Assez important;Non;4;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Peut-être une option comme : suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Conseils de style personnalisés
36;Chaque saison;5-10 minutes;Peu important;Non;3;Oui, régulièrement;Suggestions de tenues personnalisées, Conseils de style personnalisés;Achats impulsifs et non coordonnés;Analyse de l'impact environnemental de chaque vêtement;Quelque chose qui gère le/la alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une aide pour identifier les couleurs qui me vont;Oui, un achat unique;18-24 ans;Homme;Numérisation intelligente des vêtements
37;Rarement;Moins de 5 minutes;Peu important;Non;1;Non, et je ne suis pas intéressé(e);Suggestions de tenues personnalisées, Conseils de style personnalisés, Numérisation intelligente des vêtements;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Un outil pour alerte lorsqu’un article n’a pas été porté depuis longtemps;Je préfère limiter les informations partagées;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés
38;Chaque saison;Moins de 5 minutes;Assez important;Non;3;Oui, régulièrement;Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un mode voyage qui propose des valises optimisées;Non, je ne paierais pas pour ce type d'application;45-54 ans;Femme;Planification de capsules wardrobe saisonnières
39;Chaque saison;5-10 minutes;Assez important;Oui;3;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Manque de temps pour choisir une tenue;Suggestions de tenues basées sur votre agenda et la météo;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un outil pour repérer les styles qui reviennent dans mes achats;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Non-binaire;Analyse de l’impact environnemental des vêtements
40;Chaque saison;5-10 minutes;Peu important;Non;4;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Un outil pour calcul du coût par utilisation de chaque vêtement;Je préfère limiter les informations partagées;;Oui, un achat unique;18-24 ans;Homme;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Conseils de style personnalisés
41;Chaque semaine;5-10 minutes;Peu important;Non;2;Oui, régulièrement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Numérisation intelligente des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Calcul du coût par utilisation de chaque vêtement;Je ne souhaite pas du tout partager mes données personnelles;Un systeme de badges pour encourager la durabilité;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Analyse de l’impact environnemental des vêtements
42;Chaque semaine;Plus de 20 minutes;Peu important;Oui;3;Oui, régulièrement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Conseils de style personnalisés;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Pourquoi pas suggestions de nouvelles combinaisons avec les vêtements existants ?;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Numérisation intelligente des vêtements
43;Chaque semaine;10-20 minutes;Assez important;Non;4;Non, et je ne suis pas intéressé(e);Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une alerte anniversaire pour preparer mes tenues a lavance;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Analyse de l’impact environnemental des vêtements
44;Chaque semaine;5-10 minutes;Peu important;Non;3;Oui, occasionnellement;Conseils de style personnalisés, Suggestions de tenues personnalisées, Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Je pense à : suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une option minimaliste pour navoir que les essentiels visibles;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées
45;Chaque semaine;5-10 minutes;Peu important;Oui;4;Oui, régulièrement;Numérisation intelligente des vêtements, Intégration avec des plateformes de revente, Suggestions de tenues personnalisées;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Suggestions de nouvelles combinaisons avec les vêtements existants — ça serait pratique;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés, Planification de capsules wardrobe saisonnières
46;Chaque semaine;5-10 minutes;Peu important;Non;5;Oui, régulièrement;Suggestions de tenues personnalisées, Conseils de style personnalisés, Numérisation intelligente des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Je pense à : alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une carte thermique de mon dressing selon lusage;Oui, un achat unique;18-24 ans;Homme;Numérisation intelligente des vêtements, Intégration avec des plateformes de revente, Planification de capsules wardrobe saisonnières
47;Chaque semaine;Moins de 5 minutes;Assez important;Non;1;Oui, régulièrement;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Conseils de style personnalisés;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Peut-être une option comme : alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une interface pour noter mes vetements favoris;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Intégration avec des plateformes de revente, Numérisation intelligente des vêtements
48;Chaque semaine;Moins de 5 minutes;Très important;Oui;2;Oui, régulièrement;Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Analyse de l'impact environnemental de chaque vêtement;Quelque chose qui gère le/la évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un outil de style croisé entre mes vetements et ceux de mes amis;Non, je ne paierais pas pour ce type d'application;45-54 ans;Homme;Analyse de l’impact environnemental des vêtements, Numérisation intelligente des vêtements
49;Chaque semaine;Moins de 5 minutes;Assez important;Non;3;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Difficulté à combiner les vêtements;Analyse de l'impact environnemental de chaque vêtement;Fonction utile : alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un outil qui me rappelle quand jai porté une tenue pour éviter les doublons;Oui, un abonnement mensuel;18-24 ans;Homme;Conseils de style personnalisés
50;Chaque semaine;10-20 minutes;Peu important;Non;4;Oui, occasionnellement;Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Analyse de l'impact environnemental de chaque vêtement;J’aimerais voir une fonction pour évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Analyse de l’impact environnemental des vêtements, Conseils de style personnalisés
51;Chaque mois;5-10 minutes;Très important;Non;5;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Une application qui permettrait le/la évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un score de diversité vestimentaire;Non, je ne paierais pas pour ce type d'application;45-54 ans;Homme;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Numérisation intelligente des vêtements
52;Chaque saison;5-10 minutes;Pas important du tout;Oui;5;Oui, occasionnellement;Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements, Intégration avec des plateformes de revente;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Pourquoi pas alerte lorsqu’un article n’a pas été porté depuis longtemps ?;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés
